display_name,handle,password_hash,state_code,city_id
Florida Man 🦅,FloridaMan,scrypt:32768:8:1$XcN5tW1W3frCcIhD$9a665d2582be1187471cff37dff302ebf40f653893eb59677853efb330cd7cb5269e22a63afbf5ee5fdc67a8872507bfd994dd32bdd04adaf7862ff4ab93bfcc,FL,1
holisticBaboon8,holisticBaboon8,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,NJ,2
gutturalDotterel7,gutturalDotterel7,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,NC,3
dejectedBuck1,dejectedBuck1,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,CA,4
importedLeopard8,importedLeopard8,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,NY,5
pluckySeafowl1,pluckySeafowl1,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,OK,6
bubblyWeaver0,bubblyWeaver0,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,SC,7
empathicPepper8,empathicPepper8,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,KY,8
scornfulHare0,scornfulHare0,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,MI,10
resolvedPudding4,resolvedPudding4,scrypt:32768:8:1$WHwMKMmqy2Ky10xH$859ddf1dcb579af704252327a719aeff8a3f69746068cb2901d994bd48ba3612d90c49203048eb6da3d6dc3ece11f306a1786f54521f34561ae2ecdf70c90483,PA,11
