display_name,handle,password_hash,state_code,city_id
Florida Man 🦅,FloridaMan,scrypt:32768:8:1$Qy0qCDTEQzBmPgrO$f3764b6e7437e588c5566167511da3f3ad5771291585f4d1d3850873fe40bb27265c77db20e2901de42b950a8cb6d693946a95937f2eac550ec975075a56bbde,FL,1
enviousSeafowl9,enviousSeafowl9,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,NJ,2
contentHoopoe9,contentHoopoe9,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,NC,3
innocentMagpie5,innocentMagpie5,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,CA,4
wingedMackerel5,wingedMackerel5,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,NY,5
artisticOtter9,artisticOtter9,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,OK,6
enragedMuesli4,enragedMuesli4,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,SC,7
crushedSheep9,crushedSheep9,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,KY,8
murkyIcecream8,murkyIcecream8,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,MI,10
thriftyIguana5,thriftyIguana5,scrypt:32768:8:1$3JpvkxOV0yFYMVHO$b5a1d8daa75c7d0cfc3262efbfda0105083ce23c1843a25becbeebcb5badec1a614d3e56e383a23327611f7a0edf3ea349561db8ba964be6cfa9d49aac888df0,PA,11
